id	local_path	family	producer	producer_detail	lineage	holdout	origin	url	license	rights_basis	source_project	source_ref
libreoffice-autofit	docx/libreoffice/libreoffice-autofit.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 14.0000)	LibreOffice/core:docx:autofit	yes	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/autofit.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-basic	xlsx/libreoffice/libreoffice-basic.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 12.0000)	LibreOffice/core:xlsx:basic	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-behinddoc	docx/libreoffice/libreoffice-behinddoc.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 14.0000)	LibreOffice/core:docx:behinddoc	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/behinddoc.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bnc480256	pptx/libreoffice/libreoffice-bnc480256.pptx	pptx	Microsoft Office	Microsoft Office PowerPoint (AppVersion 15.0000)	LibreOffice/core:pptx:bnc	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/bnc480256.pptx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bnc480256-2	pptx/libreoffice/libreoffice-bnc480256-2.pptx	pptx	Microsoft Office	Microsoft Office PowerPoint (AppVersion 14.0000)	LibreOffice/core:pptx:bnc#	yes	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/bnc480256-2.pptx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bnc584721-1-2	pptx/libreoffice/libreoffice-bnc584721-1-2.pptx	pptx	Microsoft Office	Microsoft Office PowerPoint (AppVersion 14.0000)	LibreOffice/core:pptx:bnc#_#	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/bnc584721_1_2.pptx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bnc762542	xlsx/libreoffice/libreoffice-bnc762542.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 15.0300)	LibreOffice/core:xlsx:bnc	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/bnc762542.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bnc780044-spacing	docx/libreoffice/libreoffice-bnc780044-spacing.docx	docx	no Application recorded	docProps/app.xml records an empty Application	LibreOffice/core:docx:bnc#_spacing	yes	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/bnc780044_spacing.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bnc837302	docx/libreoffice/libreoffice-bnc837302.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 14.0000)	LibreOffice/core:docx:bnc	yes	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/bnc837302.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-book1-custom	xlsx/libreoffice/libreoffice-book1-custom.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 16.0300)	LibreOffice/core:xlsx:book#_custom	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/Book1_custom.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-btlr-frame-vml	docx/libreoffice/libreoffice-btlr-frame-vml.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 14.0000)	LibreOffice/core:docx:btlr-frame-vml	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlimport/data/btlr-frame-vml.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-btlr-textbox	docx/libreoffice/libreoffice-btlr-textbox.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 14.0000)	LibreOffice/core:docx:btlr-textbox	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/btlr-textbox.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-bug-fixes	xlsx/libreoffice/libreoffice-bug-fixes.xlsx	xlsx	LibreOffice	LibreOffice/3.3$Unix LibreOffice_project/330m19$Build-8	LibreOffice/core:xlsx:bug-fixes	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/bug-fixes.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-built-in-ranges	xlsx/libreoffice/libreoffice-built-in-ranges.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 15.0300)	LibreOffice/core:xlsx:built-in_ranges	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/built-in_ranges.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
